URL,Image name,Twist,Corner pix,Frac OffX,Frac OffY,Error,,,Twist,Corner pix,Frac OffX,Frac OffY
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2001/data/1455194345_1455427331/N1455327968_1_CALIB.IMG,N1455327968,0.014,0.17693,-1.072,3.897,1.08315,,Mean,0.01159,0.14644,-6.11469,9.09024
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2001/data/1455194345_1455427331/N1455328448_1_CALIB.IMG,N1455328448,0.0136,0.17187,-0.703,1.609,1.32619,,Standard Error,0.00018,0.00230,0.26462,1.13191
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2001/data/1455194345_1455427331/N1455328928_1_CALIB.IMG,N1455328928,0.0124,0.15671,-5.425,4.994,1.20936,,Mode,0.01280,0.16176,-5.42500,#VALUE!
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2001/data/1455194345_1455427331/N1455329408_1_CALIB.IMG,N1455329408,0.0084,0.10616,-3.762,3.665,1.2294,,Median,0.01160,0.14660,-5.55600,5.19500
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2001/data/1455194345_1455427331/N1455329888_1_CALIB.IMG,N1455329888,0.0112,0.14154,-2.311,4.081,1.18722,,First Quartile,0.00960,0.12132,-8.77400,-1.13700
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2001/data/1455194345_1455427331/N1455330368_1_CALIB.IMG,N1455330368,0.012,0.15165,-5.893,5.469,1.07883,,Third Quartile,0.01360,0.17187,-3.76200,20.70400
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2001/data/1455194345_1455427331/N1455330848_1_CALIB.IMG,N1455330848,0.0132,0.16682,-7.482,5.675,1.03896,,Variance,0.00001,0.00119,15.75517,288.27470
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2001/data/1455194345_1455427331/N1455331328_1_CALIB.IMG,N1455331328,0.0104,0.13143,-0.983,6.26,1.22134,,Standard Deviation,0.00273,0.03444,3.96928,16.97865
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2001/data/1455194345_1455427331/N1455331808_1_CALIB.IMG,N1455331808,0.0128,0.16176,-3.076,9.925,1.1552,,Kurtosis,-0.31145,-0.31141,0.72801,0.51746
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2021/data/1521798868_1521893025/N1521879918_2_CALIB.IMG,N1521879918,0.008,0.1011,-7.644,28.049,0.94433,,Skewness,-0.00850,-0.00849,0.10345,0.29097
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2021/data/1521798868_1521893025/N1521880278_2_CALIB.IMG,N1521880278,0.008,0.1011,-3.88,35.669,1.26554,,Range,0.01400,0.17693,24.93300,110.10600
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2021/data/1521798868_1521893025/N1521880638_2_CALIB.IMG,N1521880638,0.006,0.07583,-5.408,54.595,1.31759,,Minimum,0.00480,0.06066,-19.08000,-31.45800
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2021/data/1521798868_1521893025/N1521880998_2_CALIB.IMG,N1521880998,0.0076,0.09605,-8.009,19.819,1.07201,,Maximum,0.01880,0.23759,5.85300,78.64800
