image_id,background,reason
N1463476856_2,sky,dark sky dominates with small ring arc at bottom edge
N1463628417_2,sky,dark sky with ring arc only in bottom-right corner
N1464249530_1,sky,bright ring ansa at top-left against dark sky
N1467344155_2,sky,ring bands fill the entire frame
N1467344214_2,sky,ring bands fill the entire frame
N1467344332_2,sky,ring bands fill the entire frame
N1467344391_2,sky,ring bands fill the entire frame
N1467345149_2,planet,diagonal ring strips silhouetted against Saturn cloud bands crossing behind
N1467345267_2,sky,ring bands fill the frame with a shadow edge
N1467345326_2,sky,dim ring bands fill the entire frame
N1467345444_2,sky,ring bands fill frame with shadow lanes at corner
N1473289330_1,sky,mostly dark frame with faint ring band at right edge
N1473692743_1,planet,frame mostly Saturn disk and glowing atmosphere with rings at right edge
N1473703470_1,planet,frame mostly Saturn disk and limb glow with rings at right edge
N1473703716_1,planet,frame mostly Saturn disk and bright limb with rings at right edge
N1473703764_1,planet,frame mostly Saturn disk and bright limb with rings at right edge
N1477307700_2,sky,nested ring arcs fill frame with dark sky gap at top
N1477308275_2,sky,ring material fills the entire frame with no planet visible
N1477308379_2,sky,ring arcs fill the entire frame
N1477308958_2,sky,near-plane ring bands fill entire frame
N1477309062_2,sky,ring arcs fill the entire frame
N1477593061_1,sky,ring arcs fill frame against dark background
N1484916091_1,sky,ring band at top over dark sky with crescent moon
N1492102115_1,sky,thin F ring arc against dark sky with small bright source at edge
N1492102152_1,sky,thin F ring arc against dark sky with small bright source at edge
N1492102189_1,sky,thin F ring arc against dark sky with small bright source at edge
N1493959934_2,sky,thin ring strips and small moon against black sky
N1495328067_1,sky,bright rings fill frame with dark sky strip at top
N1498737200_1,sky,thin ring ansae against dark sky
N1498737320_1,sky,thin ring ansae against dark sky
N1498737440_1,sky,thin ring ansae against dark sky
N1503230887_1,sky,faint ring spans against dark starry sky
N1505735909_2,sky,edge-on ring strip and small moon against dark sky
N1516296088_1,sky,bright narrow ring ansa against dark sky
N1521908630_1,sky,edge-on bright ring wedge against black sky
N1524901682_1,mixed,vertical ring band in front of a large hazy disk with dark sky around
N1532372568_1,sky,lit ring bands fill the entire frame
N1532407832_1,sky,curved ring bands fill the frame
N1536485154_1,sky,bright striated ring material fills the frame
N1537019704_1,sky,ring arcs against dark ring material and sky no planet
N1537019964_1,sky,concentric ring arcs fill the whole frame
N1537020098_1,sky,ring arcs fill frame fading into dark sky
N1537021909_1,sky,curved ringlet bands fill the frame
N1539331550_1,sky,diagonal ring striations fill entire frame
N1539331684_1,sky,diagonal ring striations fill the frame
N1540579647_1,sky,broad ring arcs fill the frame with a dark ring region at top
N1540580396_1,sky,faint ring arcs and bright ring edge against mostly dark sky
N1541104714_1,sky,horizontal ring bands fill the frame
N1541557055_1,sky,foreshortened ring striations fill the frame
N1541557304_1,sky,foreshortened ring bands fill the entire frame
N1543793433_1,sky,broad ring arcs fill the frame
N1543793733_1,sky,banded ring arcs fill the frame
N1544035853_1,sky,fine diagonal ring striations fill the frame
N1547772129_1,sky,nested ring arcs fill the frame
N1547820457_1,sky,horizontal ring bands fill the frame
N1550452145_1,sky,smooth diagonal ring bands fill the frame
N1553207351_1,sky,ring bands fill whole frame
N1554631845_1,sky,diagonal ring bands fill the frame
N1555486776_1,sky,ring edge right side against dark sky
N1556031079_1,sky,ringlets over diffuse unlit ring glow no planet disk
N1556032385_1,sky,broad ring bands fill the frame
N1556711016_1,sky,ring bands fill the entire frame
N1556711360_1,sky,ring arcs against dark starry sky with no planet
