image_id,camera,volume,file_spec,res_kmpx,res_band,face,opening_bin,obs_opening_deg,solar_opening_deg,phase_min_deg,phase_max_deg,ring_rmin_km,ring_rmax_km,regions,n_regions,n_catalog_edges,edge_rms_min_km,edge_rms_max_km,in_spokes_bundle,background,role
N1560314913_1,N,COISS_2032,data/1560303820_1560343297/N1560314913_1.LBL,1.526,0-5,lit,mid,-18.05,-12.06,35.9,36.4,74200,76331,C_inner,1,3,0.14,0.16,False,sky,primary:C_inner
W1883611779_1,W,COISS_2116,data/1883585911_1883641009/W1883611779_1.LBL,5.313,5-25,unlit,mid,-10.33,26.69,97.3,102.3,71165,82817,C_inner,1,10,0.11,0.94,False,sky,primary:C_inner
N1537019704_1,N,COISS_2025,data/1537013395_1537024388/N1537019704_1.LBL,25.786,25-100,unlit,mid,15.07,-15.85,178.5,179.0,60691,79419,C_inner,1,10,0.11,0.94,False,sky,primary:C_inner
W1745007975_1,W,COISS_2082,data/1744876372_1745176161/W1745007975_1.LBL,107.295,100-300,unlit,open,-38.46,18.25,68.6,69.7,60284,83198,C_inner,1,10,0.11,0.94,False,mixed,primary:C_inner
N1573288043_1,N,COISS_2039,data/1573283993_1573337211/N1573288043_1.LBL,303.493,300-1000,unlit,near-plane,3.59,-9.84,44.5,44.8,60297,78901,C_inner,1,8,0.13,0.94,False,mixed,primary:C_inner
W1572585736_1,W,COISS_2038,data/1572563415_1572639225/W1572585736_1.LBL,1004.639,1000-3000,unlit,near-plane,2.25,-9.96,23.5,27.1,61304,2997709,C_inner+C_outer+B_inner_feats+B_outer_huygens+CassiniDiv_mid+A_inner+Encke+Keeler_A_outer,8,79,0.08,10.18,False,planet,primary:C_inner
N1532407832_1,N,COISS_2024,data/1532374774_1532425248/N1532407832_1.LBL,2.073,0-5,unlit,near-plane,6.55,-16.57,79.7,80.1,86488,89264,C_outer,1,10,0.09,0.76,False,sky,primary:C_outer
N1591693813_1,N,COISS_2045,data/1591692527_1591765706/N1591693813_1.LBL,5.009,5-25,lit,open,-66.76,-6.6,74.7,75.1,87426,90328,C_outer,1,14,0.08,0.76,False,sky,primary:C_outer
N1541104714_1,N,COISS_2026,data/1541102878_1541231378/N1541104714_1.LBL,26.32,25-100,unlit,open,31.92,-15.21,161.5,162.0,81255,97012,C_outer,1,23,0.08,0.76,False,sky,primary:C_outer
W1872479866_1,W,COISS_2112,data/1872477866_1872486233/W1872479866_1.LBL,100.575,100-300,unlit,open,-26.88,26.73,165.3,169.4,60605,91559,C_inner+C_outer,2,33,0.08,0.94,False,sky,primary:C_outer
